,Chemical,Vacated 1989 OSHA PELs
1,Acetaldehyde,"TWA 100 ppm (180 mg/m3), ST 150 ppm (270mg/m3)"
2,Acetic anhydride,C 5 ppm (20 mg/m3)
3,Acetone,"TWA 750 ppm (1800 mg/m3), ST 1000 ppm (2400 mg/m3)"
4,Acetonitrile,"TWA 40 ppm (70 mg/m3), ST 60 ppm (105 mg/m3)"
5,Acetylsalicyclic acid,TWA 5 mg/m3
6,Acrolein,"TWA 0.1 ppm (0.25 mg/m3), ST 0.3 ppm (0.8 mg/m3)"
7,Acrylamide,TWA 0.03 mg/m3 [skin]
8,Acrylic acid,TWA 10 ppm (30 mg/m3) [skin]
9,Allyl alcohol,"TWA 2 ppm (5 mg/m3), ST 4 ppm (10 mg/m3) [skin]"
10,Allyl chloride,"TWA 1 ppm (3 mg/m3), ST 2 ppm (6 mg/m3)"
11,Allyl glycidyl ether,"TWA 5 ppm (22 mg/m3), ST 10 ppm (44 mg/m3)"
12,Allyl propyl disulfide,"TWA 2 ppm (12 mg/m3), ST 3 ppm (18 mg/m3)"
13,α-Alumina,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
14,Aluminum (pyro powders &,TWA 5 mg/m3
15,"welding fumes, as Al)",
16,Aluminum (soluble,TWA 2 mg/m3
17,"salts & alkyls, as Al)",
18,Amitrole,TWA 0.2 mg/m3
19,Ammonia,ST 35 ppm (27 mg/m3)
20,Ammonium chloride fume,"TWA 10 mg/m3, ST 20 mg/m3"
21,Ammonium sulfamate,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)"
22,Aniline (and homologs),TWA 2 ppm (8 mg/m3) [skin]
23,Atrazine,TWA 5 mg/m3
25,Barium sulfate,"TWA 10 mg/m3 (total), TWA 5 mg/m  (resp)"
27,Benomyl,"TWA 10 mg/m3 (total), TWA 5 mg/m  (resp)"
28,Benzenethiol,TWA 0.5 ppm (2 mg/m3)
29,Bismuth telluride (doped wit,h TWA 5 mg/m3
30,"selenium sulfide, as Bi2Te3)",
31,"Borates, tetra, sodium salts",TWA 10 mg/m3
32,(Anhydrous),
